X Y Tilt_Depth
2642.6818 2650.0000 102.2046
2642.6667 2700.0000 102.1568
2642.6528 2750.0000 102.1124
2642.6400 2800.0000 102.0713
2642.6280 2850.0000 102.0330
2642.6169 2900.0000 101.9973
2642.6066 2950.0000 101.9639
2642.5970 3000.0000 101.9328
2642.5880 3050.0000 101.9037
2642.5796 3100.0000 101.8764
2642.5718 3150.0000 101.8508
2642.5644 3200.0000 101.8268
2642.5575 3250.0000 101.8043
2642.5511 3300.0000 101.7831
2642.5450 3350.0000 101.7632
2642.5393 3400.0000 101.7445
2642.5339 3450.0000 101.7269
2642.5289 3500.0000 101.7103
2642.5242 3550.0000 101.6947
2642.5197 3600.0000 101.6801
2642.5155 3650.0000 101.6662
2642.5116 3700.0000 101.6532
2642.5079 3750.0000 101.6410
2642.5044 3800.0000 101.6295
2642.5011 3850.0000 101.6187
2642.4980 3900.0000 101.6086
2642.4951 3950.0000 101.5991
2642.4924 4000.0000 101.5902
2642.4899 4050.0000 101.5818
2642.4876 4100.0000 101.5741
2642.4854 4150.0000 101.5668
2642.4833 4200.0000 101.5601
2642.4815 4250.0000 101.5538
2642.4797 4300.0000 101.5480
2642.4781 4350.0000 101.5427
2642.4766 4400.0000 101.5378
2642.4753 4450.0000 101.5334
2642.4741 4500.0000 101.5294
2642.4730 4550.0000 101.5258
2642.4720 4600.0000 101.5226
2642.4712 4650.0000 101.5198
2642.4704 4700.0000 101.5174
2642.4698 4750.0000 101.5153
2642.4693 4800.0000 101.5137
2642.4689 4850.0000 101.5124
2642.4687 4900.0000 101.5114
2642.4685 4950.0000 101.5109
2642.4684 5000.0000 101.5107
2642.4685 5050.0000 101.5109
2642.4687 5100.0000 101.5114
2642.4689 5150.0000 101.5124
2642.4693 5200.0000 101.5136
2642.4698 5250.0000 101.5153
2642.4704 5300.0000 101.5173
2642.4712 5350.0000 101.5198
2642.4720 5400.0000 101.5226
2642.4730 5450.0000 101.5258
2642.4741 5500.0000 101.5294
2642.4753 5550.0000 101.5334
2642.4766 5600.0000 101.5378
2642.4781 5650.0000 101.5427
2642.4797 5700.0000 101.5480
2642.4814 5750.0000 101.5538
2642.4833 5800.0000 101.5600
2642.4854 5850.0000 101.5668
2642.4876 5900.0000 101.5740
2642.4899 5950.0000 101.5818
